,Tweet,Time,nb_favorites
190,rt happi halloween transformerskid instagram,2022-11-01 03:31:28+00:00,0
191,rt falcon heavi roll ramp ahead tomorrow s target launch ussf 44 mission weather 90 favor lifto,2022-10-31 22:06:15+00:00,0
192,dollar time someon ask trump come back platform twitter mint money,2022-10-31 17:10:05+00:00,949279
193,bring back vine,2022-10-31 03:11:41+00:00,249494
194,wachtel amp twitter board deliber hid evid court stay tune come,2022-10-31 01:00:53+00:00,287632
195,fake tweet link new york time,2022-10-31 00:04:28+00:00,693705
196,rt 20k model y built giga texa date,2022-10-30 12:56:06+00:00,0
197,receiv email twitter actual real email autogener,2022-10-30 11:25:19+00:00,528405
198,final truth carb amaz platform,2022-10-29 17:35:45+00:00,685191
199,fresh bake bread amp pastri great joy life,2022-10-29 17:33:16+00:00,526814
200,super clear made chang twitter s content moder polici,2022-10-29 00:14:33+00:00,247411
201,ligma johnson come,2022-10-28 21:33:03+00:00,666870
202,comedi now legal twitter,2022-10-28 21:16:42+00:00,2379855
203,rt solar powerwal ensur never lose power even grid goe,2022-10-28 21:03:05+00:00,0
204,twitter form content moder council wide divers viewpoint major content decis o,2022-10-28 18:18:55+00:00,610121
205,good time roll,2022-10-28 12:09:02+00:00,987365
206,bird freed,2022-10-28 03:49:11+00:00,2479465
207,falcon rocket orbit seen la,2022-10-28 01:50:49+00:00,451054
208,rt falcon 9 s first stage land cours still love droneship,2022-10-28 01:25:24+00:00,0
209,rt liftoff,2022-10-28 01:25:20+00:00,0
210,rt watch falcon 9 launch 53 starlink satellit,2022-10-28 01:25:16+00:00,0
211,rt twitter headquart coffe bar,2022-10-27 16:28:38+00:00,0
212,twitter advertis,2022-10-27 13:08:00+00:00,745995
213,enter twitter hq sink,2022-10-26 18:45:58+00:00,1392204
214,beauti thing twitter empow citizen journal peopl dissemin news without establish bias,2022-10-26 15:27:40+00:00,379431
215,new york time emerg new chaotic actor global polit paper s intervent th,2022-10-26 14:48:22+00:00,131422
216,work move land object,2022-10-25 23:26:39+00:00,56222
217,lesson took longest unlearn,2022-10-25 04:33:08+00:00,161179
218,διαλεκτική,2022-10-25 01:25:34+00:00,104264
219,rt starlink now avail jamaica,2022-10-24 18:09:30+00:00,0
220,rt falcon heavi hangar launch complex 39a,2022-10-23 23:02:25+00:00,0
221,think decid current thing accept,2022-10-23 13:26:21+00:00,121677
222,decid current thing real question know,2022-10-23 13:21:51+00:00,123210
223,neuralink show amp tell now nov 30,2022-10-23 12:19:22+00:00,66709
224,know noth forev,2022-10-23 00:29:28+00:00,216135
225,rt border chang time,2022-10-22 21:04:27+00:00,0
226,rt launch catch tower stack starship starbas,2022-10-21 22:35:01+00:00,0
227,rt vote new supercharg locat,2022-10-21 21:46:05+00:00,0
228,rt advanc paint system allow 13 layer depth dimens amp hand paint look,2022-10-21 21:45:15+00:00,0
229,giga berlin make color paint shop special built appli mani fine layer paint givin,2022-10-21 06:34:33+00:00,45755
230,rt,2022-10-21 06:01:32+00:00,0
231,,2022-10-21 03:31:20+00:00,242972
232,congrat team 48th launch year falcon 9 now hold record launch singl vehicl type year,2022-10-20 16:31:46+00:00,78618
233,rt deploy 54 starlink satellit confirm,2022-10-20 16:05:22+00:00,0
234,rt 10 year supercharg 46 countri 35k stall 20 billion mile charg,2022-10-20 01:12:50+00:00,0
