,Tweet,Time,nb_retweets
323,starlink connect school amazon,2022-09-23 02:59:15+00:00,12661
324,fsd beta 10 69 2 1 look good extend 160k owner amp canada,2022-09-19 20:57:53+00:00,3207
325,baltasar gracián oráculo manual y art de prudencia,2022-09-19 19:33:52+00:00,2804
326,7 engin static fire,2022-09-19 18:30:43+00:00,10496
327,starri starri night paint palett blue gray,2022-09-19 06:30:06+00:00,15021
328,starlink now activ contin includ antarctica,2022-09-19 03:26:40+00:00,12753
329,,2022-09-18 03:16:21+00:00,21433
330,starlink meant peac use,2022-09-17 01:48:30+00:00,12050
331,salt butter amaz store room temperatur,2022-09-14 07:38:04+00:00,7096
332,,2022-09-14 03:57:18+00:00,20012
333,blow whistl,2022-09-13 23:02:37+00:00,3555
334,,2022-09-13 18:49:25+00:00,2852
335,tweet suppress,2022-09-13 18:05:36+00:00,9213
336,anyon know secret client twitter right now haha,2022-09-13 17:45:44+00:00,2014
337,rome show underappreci,2022-09-13 16:51:22+00:00,1275
338,,2022-09-13 14:48:08+00:00,3759
339,take moment,2022-09-13 00:16:11+00:00,29129
340,long view gasolin car way view steam engin today,2022-09-12 20:07:08+00:00,14176
341,fsd beta 10 69 2 roll now pleas note top prioriti safeti expect over cautious esp,2022-09-11 21:31:34+00:00,3208
342,falcon arch orbit,2022-09-11 03:00:14+00:00,11912
343,obvious limit rocket reflight far,2022-09-11 02:29:13+00:00,3485
344,take materi scienc 101 regret,2022-09-09 23:52:33+00:00,10101
345,major fed rate hike risk deflat,2022-09-09 23:40:48+00:00,6084
346,tesla north america aim gt 50 hour servic,2022-09-09 22:22:27+00:00,2233
347,rememb,2022-09-08 09:22:07+00:00,15887
348,rt,2022-09-08 04:33:41+00:00,3290
349,rt tesla model y receiv highest safeti score vehicl test,2022-09-07 10:42:50+00:00,5260
350,punni,2022-09-07 04:19:58+00:00,4269
351,rt enter destin amp tesla automat includ supercharg stop rout,2022-09-07 01:49:58+00:00,1548
352,order tesla powerwal batteri blackout protect,2022-09-05 23:50:46+00:00,4519
353,tolkien turn grave,2022-09-05 18:01:44+00:00,27227
354,,2022-09-03 02:06:02+00:00,6856
355,sure sound higher 5,2022-09-01 04:05:27+00:00,10809
356,now launch 5 day,2022-08-31 15:06:53+00:00,4976
357,rt falcon 9 launch starlink orbit spacex s sixth launch month,2022-08-31 15:03:31+00:00,2870
358,rt extrem heat durabl test dubai,2022-08-30 22:58:36+00:00,4745
359,spent day walk entir giga berlin product line team excel work,2022-08-30 22:50:03+00:00,5448
360,kickass internet connect come royal caribbean ship soon,2022-08-30 22:38:14+00:00,4893
361,happen matter time,2022-08-28 23:51:49+00:00,5239
362,godspe artemi,2022-08-28 23:35:36+00:00,4493
363,time time share thing seem work case find help,2022-08-28 17:54:13+00:00,12518
364,advic good friend fast period amp feel healthier,2022-08-28 17:40:02+00:00,12841
365,squeez extra perform falcon 9 17 metric ton actual use orbit booster amp fai,2022-08-28 05:29:11+00:00,2565
366,rt starlink now avail norway addit better reflect pariti purchas power custom adj,2022-08-28 05:25:34+00:00,1653
367,countri increas nuclear power generat insan nation secur standpoint amp bad,2022-08-26 22:27:59+00:00,34482
368,popul collaps due low birth rate much bigger risk civil global warm,2022-08-26 04:27:02+00:00,40287
369,starlink v2 launch next year transmit direct mobil phone elimin dead zone worldwid,2022-08-26 00:13:51+00:00,20484
370,rt watch live elon ceo presid mike sievert announc plan increas connect,2022-08-26 00:06:33+00:00,3057
371,livestream big news hour,2022-08-25 22:49:28+00:00,2550
372,someth special,2022-08-24 16:31:54+00:00,4224
373,cours civil alway upward,2022-08-24 07:28:13+00:00,3130
374,mechazilla load starship launchpad,2022-08-24 05:44:21+00:00,11090
375,,2022-08-23 15:52:07+00:00,6593
